CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,YEAR,UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX
2022-01-11,17:10,STATEN ISLAND,10306.0,40.567627,-74.11262,HYLAN BOULEVARD,BEACH AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4494476.0,Sedan,Sedan,Sedan,,,2022,12094918,01/11/2022,17:10,91ba7d48-f805-42fe-b653-12347921bc89,Occupant,Unspecified,,,,,,,,,,,Witness,,,
2022-04-07,14:25,BROOKLYN,11212.0,40.659336,-73.90907,CHESTER STREET,NEWPORT STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Other Vehicular,Other Vehicular,Other Vehicular,,4517591.0,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,2022,12183290,04/07/2022,14:25,2624a324-a61d-4e85-88da-f23362a5162f,Occupant,Injured,20197908.0,47.0,Not Ejected,Conscious,Back,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,Driver,,,M
2022-01-16,6:28,BROOKLYN,11233.0,40.67725,-73.92754,ATLANTIC AVENUE,ROCHESTER AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4495206.0,Sedan,Sedan,,,,2022,12093740,01/16/2022,6:28,f73f1014-9133-41cc-afa1-8750eb29a54f,Occupant,Unspecified,20146175.0,,,,,,,,,,Registrant,,,
2022-01-16,4:45,UNKNOWN,,40.815525,-73.89503,BRUCKNER EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4495221.0,Box Truck,Station Wagon/Sport Utility Vehicle,,,,2022,12093848,01/16/2022,4:45,5d8350c7-17c4-4190-a3ae-180d4bd4d5a8,Occupant,Unspecified,20146228.0,38.0,,,,,,,,,Registrant,,,M
2022-01-16,21:00,UNKNOWN,,40.865685,-73.823425,HUTCHINSON RIVER PARKWAY EAST,EINSTEIN LOOP,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4495645.0,Sedan,Sedan,,,,2022,12095095,01/16/2022,21:00,f6f62a30-7e68-4714-b24f-fedf1aeb9618,Occupant,Unspecified,20146994.0,25.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
2022-01-16,6:30,UNKNOWN,,40.654533,-73.860916,BELT PARKWAY,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4494811.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022,12093410,01/16/2022,6:30,e66c5249-b4b4-4446-b045-ea1a05959e73,Occupant,Unspecified,20145985.0,,,,,,,,,,Registrant,,,
2022-01-15,15:12,UNKNOWN,,40.62459,-74.14129,DECKER AVENUE,,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4495459.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022,12094904,01/15/2022,15:12,fc7ffdca-69cf-43b5-9b61-366d93faa9e3,Occupant,Injured,20146880.0,29.0,Not Ejected,Conscious,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Complaint of Pain or Nausea,Passenger,,,M
2022-01-05,17:10,BROOKLYN,11225.0,40.665726,-73.96425,,,450       FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4495431.0,Convertible,Taxi,,,,2022,12094502,01/05/2022,17:10,5ab6d41f-32f7-47ae-a27a-a739fc6b13c6,Occupant,Unspecified,20146639.0,,,,,,,,,,Registrant,,,
2022-01-16,0:00,MANHATTAN,10034.0,40.866062,-73.92251,VERMILYEA AVENUE,WEST 204 STREET,,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4495010.0,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022,12092262,01/16/2022,0:00,d304a0c5-96e9-4683-bc03-1662dc298ab5,Occupant,Unspecified,20145273.0,,,,,,,,,,Registrant,,,
2022-04-10,16:09,BRONX,10456.0,40.824066,-73.908714,3 AVENUE,EAST 163 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4517895.0,Sedan,Sedan,,,,2022,12185812,04/10/2022,16:09,132a3e34-8e93-45ef-adfe-0c9524a77cd1,Occupant,Unspecified,20199331.0,23.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
2022-04-10,4:01,BROOKLYN,11228.0,40.61606,-74.02576,92 STREET,DAHLGREN PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4518449.0,Sedan,Sedan,,,,2022,12225221,04/10/2022,4:01,027c35dd-b754-404d-862e-b168198c45e4,Occupant,Unspecified,20221675.0,,,,,,,,,,Registrant,,,
2021-09-27,21:00,BROOKLYN,11212.0,40.6611498,-73.9228401,,,205       EAST 95 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4461988.0,Sedan,Pick-up Truck,,,,2021,11986883,09/27/2021,21:00,61a22978-21e6-45b7-a3dc-bfe8159ae089,Occupant,Unspecified,20084481.0,35.0,,,,,,,,,Registrant,,,F
2021-10-08,17:18,UNKNOWN,,40.7440274,-73.7176262,UNION TURNPIKE,,,1,0,1,0,0,0,0,0,Unspecified,,,,,4465398.0,Sedan,,,,,2021,11986967,10/08/2021,17:18,28c8fb6d-bafe-4273-a32e-9a188f387c71,Occupant,Unspecified,20084529.0,39.0,,,,,,,,,Registrant,,,F
2021-10-10,9:30,UNKNOWN,,40.7492931,-73.7566381,LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unsafe Speed,,,,4465909.0,Sedan,Sedan,,,,2021,11986109,10/10/2021,9:30,b486b38c-ce54-4f6f-9a91-3466d2dedb54,Occupant,Unspecified,20084029.0,67.0,,,,,,,,,Registrant,,,M
2021-10-10,9:30,UNKNOWN,,40.7492931,-73.7566381,LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unsafe Speed,,,,4465909.0,Sedan,Sedan,,,,2021,11986110,10/10/2021,9:30,04a3c5aa-1077-4a83-a1c9-6d2b8982d1f7,Occupant,Injured,20084029.0,67.0,Not Ejected,Conscious,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,Driver,,,M
2021-10-12,6:10,UNKNOWN,,40.8399338,-73.9328562,HARLEM RIVER DRIVE,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,,4466459.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Ambulance,Sedan,,2021,11983674,10/12/2021,6:10,7e32969b-b988-4881-83cb-2ece84891993,Occupant,Unspecified,20082618.0,40.0,,,,,,,,,Registrant,,,M
2021-10-12,6:10,UNKNOWN,,40.8399338,-73.9328562,HARLEM RIVER DRIVE,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,,4466459.0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Ambulance,Sedan,,2021,11983672,10/12/2021,6:10,b47322ec-f10b-42c2-bb2f-5ae4c914130b,Occupant,Unspecified,20082619.0,36.0,,,,,,,,,Registrant,,,M
2021-10-12,9:35,UNKNOWN,,40.7283988,-73.8330164,VAN WYCK EXPWY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4466506.0,Sedan,Sedan,,,,2021,11984466,10/12/2021,9:35,f119b979-74b1-4e66-a1c9-4616d4b432e3,Occupant,Unspecified,20083087.0,56.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M
2021-10-12,11:18,UNKNOWN,,40.6678344,-73.8948325,BLAKE AVENUE,,,1,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4466507.0,E-Bike,Station Wagon/Sport Utility Vehicle,,,,2021,11984841,10/12/2021,11:18,bb1103c2-7acd-4c9e-8e51-eeaf6177cdfb,Other Motorized,Injured,20083294.0,43.0,Not Ejected,Conscious,Knee-Lower Leg Foot,Driver,Helmet (Motorcycle Only),,,None Visible,Driver,,,M
2021-10-12,14:10,BROOKLYN,11208.0,40.6827493,-73.8753608,CHESTNUT STREET,FULTON STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4466553.0,Station Wagon/Sport Utility Vehicle,,,,,2021,11984851,10/12/2021,14:10,a69055c6-3fd1-496a-bc31-07ddffd26219,Occupant,Unspecified,20083300.0,62.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2021-10-12,15:20,UNKNOWN,,40.6333355,-74.0161278,BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4466571.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021,11984013,10/12/2021,15:20,d41c4ef7-6511-4d5d-9c21-972a1ced0479,Occupant,Unspecified,20082806.0,39.0,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
2021-10-12,15:32,QUEENS,11434.0,40.6610209,-73.766602,,,178-40    146 TERRACE,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4466578.0,Station Wagon/Sport Utility Vehicle,Sedan,Convertible,,,2021,11984751,10/12/2021,15:32,02bebda9-24e9-4083-b253-fe9001ddefa4,Occupant,Unspecified,20083247.0,,,,,,,,,,Registrant,,,
2021-10-12,10:10,QUEENS,11375.0,40.7256184,-73.8510251,QUEENS BOULEVARD,68 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4466591.0,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,2021,11983740,10/12/2021,10:10,b9249d40-bb94-48a9-a887-b6458c730d18,Occupant,Unspecified,20082658.0,77.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2021-10-12,7:05,MANHATTAN,10009.0,40.7215948,-73.9747647,EAST 6 STREET,FDR DRIVE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4466623.0,Bus,Sedan,,,,2021,11983513,10/12/2021,7:05,48a40b9b-93dd-4076-ae6b-1524c962c4cf,Occupant,Unspecified,20082529.0,55.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
2021-10-12,10:15,MANHATTAN,10021.0,40.7684858,-73.9555012,EAST 73 STREET,1 AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4466636.0,E-Scooter,,,,,2021,11984101,10/12/2021,10:15,9e8d76bf-acc7-4f08-a130-18af51622f50,Other Motorized,Unspecified,20082854.0,32.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Helmet (Motorcycle Only),,,Does Not Apply,Driver,,,M
2021-10-12,19:21,UNKNOWN,,40.7636378,-73.9532966,FDR DRIVE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4466638.0,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021,11984114,10/12/2021,19:21,093a315a-aa18-4d8a-a5ca-dd98e754b76a,Occupant,Unspecified,20082861.0,50.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2021-10-12,16:03,MANHATTAN,10021.0,40.766868,-73.9597766,2 AVENUE,EAST 69 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4466639.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021,11984110,10/12/2021,16:03,4576e545-f824-42ec-b9e5-d64ecde8edde,Occupant,Unspecified,20082858.0,62.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
2021-10-12,12:47,UNKNOWN,,40.7211721,-73.9965764,KENMARE STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4466655.0,Station Wagon/Sport Utility Vehicle,Convertible,,,,2021,11983640,10/12/2021,12:47,9e2dd251-9733-4430-9705-f70a35c87c2e,Occupant,Unspecified,20082600.0,36.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2021-10-12,17:20,MANHATTAN,10013.0,40.7233076,-74.00298,BROOME STREET,WEST BROADWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4466663.0,Ambulance,PK,,,,2021,11983703,10/12/2021,17:20,cb47822f-7da7-4e97-ad7a-0129b4224f9a,Occupant,Unspecified,20082638.0,24.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
2021-10-12,7:28,MANHATTAN,10035.0,40.7976168,-73.932939,,,419       EAST 119 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4466710.0,Sedan,Sedan,,,,2021,11985082,10/12/2021,7:28,2f16201e-5099-4b88-9131-8eecb3f036cf,Occupant,Unspecified,20083439.0,50.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,,,,Does Not Apply,Driver,,,F
2021-10-12,8:45,QUEENS,11691.0,40.6069288,-73.747439,CHANNING ROAD,BEACH 12 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4466746.0,Station Wagon/Sport Utility Vehicle,Bus,,,,2021,11984921,10/12/2021,8:45,055b201c-dc8d-4229-87d6-b0ed0fc05892,Occupant,Unspecified,20083348.0,55.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
2021-10-12,14:56,MANHATTAN,10016.0,40.7497316,-73.9762344,,,144       EAST 40 STREET,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4466759.0,E-Scooter,Station Wagon/Sport Utility Vehicle,,,,2021,11984995,10/12/2021,14:56,da2ec790-0e86-460c-9f56-56a879c47019,Occupant,Unspecified,20083395.0,,,,,,,,,,Registrant,,,M
2021-10-12,14:56,MANHATTAN,10016.0,40.7497316,-73.9762344,,,144       EAST 40 STREET,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4466759.0,E-Scooter,Station Wagon/Sport Utility Vehicle,,,,2021,11984994,10/12/2021,14:56,37e4a76a-db73-4482-ba17-5184ccaec2f4,Other Motorized,Injured,20083394.0,54.0,Not Ejected,Conscious,Head,Driver,Unknown,,,Complaint of Pain or Nausea,Driver,,,M
2021-10-12,16:20,QUEENS,11377.0,40.7497011,-73.9025603,60 STREET,37 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4466816.0,Sedan,Sedan,,,,2021,11985591,10/12/2021,16:20,5707e019-1cd8-471b-8041-c7efc7aa0579,Occupant,Unspecified,20083734.0,38.0,,,,,,,,,Registrant,,,F
2022-04-11,0:44,MANHATTAN,10001.0,40.749706,-73.99157,WEST 32 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4518845.0,Sedan,Bike,,,,2022,12182818,04/11/2022,0:44,ab7b9421-c88b-455b-ba15-d99e70e6f1e6,Occupant,Unspecified,20197629.0,,,,,,,,,,Registrant,,,
2022-04-23,12:00,UNKNOWN,,0.0,0.0,EAST GUN HILL ROAD,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4522443.0,Pick-up Truck,Sedan,,,,2022,12198243,04/23/2022,12:00,e71a70a6-e9b4-40f8-af1e-5defbcf9ebb6,Occupant,Unspecified,20206499.0,55.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2022-04-11,9:33,BROOKLYN,11233.0,40.676693,-73.917404,ATLANTIC AVENUE,LOUIS PLACE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,4518704.0,Box Truck,Sedan,Station Wagon/Sport Utility Vehicle,,,2022,12182867,04/11/2022,9:33,cd3d3d10-ab0e-4ca2-9db1-b5fe97924d74,Occupant,Unspecified,20197665.0,43.0,,,,,,,,,Registrant,,,M
2022-04-11,10:10,QUEENS,11411.0,40.6867,-73.73745,FRANCIS LEWIS BOULEVARD,227 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4518074.0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022,12181357,04/11/2022,10:10,c2e32828-a2e5-4e2f-a59f-e04771318831,Occupant,Unspecified,20196776.0,27.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2022-04-11,13:20,STATEN ISLAND,10305.0,40.59351,-74.08392,REID AVENUE,HURLBERT STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4518115.0,Sedan,Sedan,,,,2022,12181053,04/11/2022,13:20,8a84631c-1773-4e09-87b2-844dd219dd94,Occupant,Unspecified,20196605.0,26.0,,,,,,,,,Registrant,,,F
2022-04-10,15:51,BRONX,10459.0,40.820984,-73.893326,,,999       EAST 163 STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,Unspecified,,,4518774.0,Taxi,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2022,12183138,04/10/2022,15:51,0a045531-250b-4f31-a261-cdfdc7fcb0fa,Occupant,Unspecified,20197828.0,45.0,,,,,,,,,Registrant,,,F
2022-04-11,12:58,BROOKLYN,11201.0,0.0,0.0,SMITH STREET,STATE STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4518165.0,Taxi,Bike,,,,2022,12218622,04/11/2022,12:58,a6a72f5d-5c40-4ae8-b4e0-96c43c5d4a21,Occupant,Unspecified,20217961.0,,,,,,,,,,Registrant,,,
2022-04-11,8:42,MANHATTAN,10029.0,40.79505,-73.93317,EAST 116 STREET,PLEASANT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4518035.0,Sedan,Sedan,,,,2022,12180810,04/11/2022,8:42,13ecd6f5-96d3-442a-bf20-34305fed2401,Occupant,Unspecified,20196470.0,23.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2022-04-11,6:48,BRONX,10466.0,0.0,0.0,,,4525      BARNES AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4518157.0,Sedan,,,,,2022,12181306,04/11/2022,6:48,2e9deb52-5328-4ce7-aba7-bb57e3d90789,Occupant,Unspecified,20196747.0,47.0,,,,,,,,,Registrant,,,F
2021-09-25,10:30,UNKNOWN,,40.585171,-73.9564096,BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4466926.0,Pick-up Truck,Sedan,Pick-up Truck,,,2021,11986195,09/25/2021,10:30,d6549d5f-4ffa-466d-96fa-cde425b1c1e3,Occupant,Unspecified,20084082.0,,,,,,,,,,Registrant,,,U
2022-04-11,8:00,UNKNOWN,,40.676815,-73.82338,ROCKAWAY BOULEVARD,115 STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4518089.0,Sedan,Sedan,,,,2022,12181215,04/11/2022,8:00,a905130e-d5b4-48e5-bd25-fef083ab67a9,Occupant,Unspecified,20196705.0,51.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2022-04-11,18:49,UNKNOWN,,40.581516,-73.96734,OCEAN PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4518587.0,Station Wagon/Sport Utility Vehicle,Sedan,,,,2022,12182954,04/11/2022,18:49,85b0f37c-c420-44b0-a759-8d82804024a5,Occupant,Unspecified,20197712.0,68.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
2022-04-11,22:45,UNKNOWN,,40.725174,-73.83739,GRAND CENTRAL PKWY,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4518403.0,Sedan,Sedan,,,,2022,12181742,04/11/2022,22:45,6d725f65-6f48-45fa-accf-d3d1e71d7469,Occupant,Unspecified,20197009.0,72.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
